start_date,start_time,distance,distance_raw,short_unit,moving_time,elapsed_time
"Thu, 26/12/2019",2019-12-26T09:52:08+0000,2.4,2404.3,km,9:29,9:29
"Sun, 29/12/2019",2019-12-29T01:25:49+0000,4.53,4534.1,km,22:13,23:27
"Mon, 30/12/2019",2019-12-30T10:33:21+0000,10.01,10011.7,km,48:30:00,48:30:00
"Tue, 31/12/2019",2019-12-31T09:08:10+0000,13.54,13541.5,km,1:12:58,1:33:47
"Sat, 04/01/2020",2020-01-04T09:13:08+0000,2.56,2559.2,km,9:17,18:40
"Sat, 04/01/2020",2020-01-04T09:48:29+0000,5.38,5379.3,km,30:22:00,30:29:00
"Sun, 05/01/2020",2020-01-05T12:04:21+0000,14.01,14016,km,1:22:00,1:22:00
"Thu, 09/01/2020",2020-01-09T11:41:40+0000,21.35,21354.9,km,2:09:54,2:13:18
"Sat, 11/01/2020",2020-01-11T09:20:59+0000,0.85,856.1,km,5:45,5:45
"Sat, 11/01/2020",2020-01-11T09:39:14+0000,1.61,1618.7,km,6:05,6:05
"Sat, 11/01/2020",2020-01-11T10:17:34+0000,0.41,409.7,km,1:11,1:11
"Sun, 12/01/2020",2020-01-11T23:31:33+0000,14.95,14954.4,km,3:07:16,3:07:26
"Thu, 16/01/2020",2020-01-16T11:40:00+0000,5.06,5061,km,23:21,23:30
"Sat, 18/01/2020",2020-01-18T11:45:09+0000,6.51,6509,km,33:09:00,40:14:00
"Wed, 22/01/2020",2020-01-22T11:40:39+0000,6.01,6009.3,km,28:47:00,29:00:00
"Thu, 23/01/2020",2020-01-23T11:52:48+0000,4,4008.3,km,17:05,17:08
"Thu, 23/01/2020",2020-01-23T12:16:52+0000,2.01,2011.5,km,11:06,11:06
"Sat, 25/01/2020",2020-01-25T09:51:24+0000,16.81,16812,km,1:34:51,1:48:43
"Sun, 26/01/2020",2020-01-26T09:26:51+0000,8.77,8770,km,51:23:00,56:53:00
"Wed, 29/01/2020",2020-01-29T11:35:27+0000,5.41,5417.5,km,31:41:00,31:41:00
"Thu, 30/01/2020",2020-01-30T09:00:25+0000,10.1,10099.6,km,56:35:00,58:36:00
"Thu, 30/01/2020",2020-01-30T10:57:02+0000,1.88,1883.2,km,10:12,12:05
"Sat, 01/02/2020",2020-02-01T09:47:52+0000,6.81,6818.9,km,43:57:00,45:14:00
"Sun, 02/02/2020",2020-02-01T23:00:16+0000,12.03,12033.2,km,1:07:46,1:14:04
"Sun, 02/02/2020",2020-02-02T00:22:53+0000,2.84,2848.8,km,16:58,17:16
"Mon, 03/02/2020",2020-02-03T12:31:48+0000,5.01,5012.8,km,24:32:00,24:32:00
"Wed, 05/02/2020",2020-02-05T09:33:31+0000,21.16,21167.2,km,2:08:28,2:27:02
"Fri, 07/02/2020",2020-02-07T08:54:57+0000,5.54,5545.1,km,34:00:00,40:09:00
"Fri, 07/02/2020",2020-02-07T10:21:30+0000,13.25,13256.2,km,1:35:26,1:37:06
"Sat, 08/02/2020",2020-02-08T09:54:30+0000,9.21,9216.6,km,48:47:00,49:27:00
"Tue, 11/02/2020",2020-02-11T11:55:50+0000,10,10007.7,km,47:29:00,47:32:00
"Wed, 12/02/2020",2020-02-12T11:35:58+0000,10.24,10241.9,km,57:08:00,57:20:00
"Thu, 13/02/2020",2020-02-13T11:56:01+0000,10,9999.9,km,53:26:00,53:29:00
"Sat, 15/02/2020",2020-02-15T00:13:42+0000,4.03,4033,km,20:10,20:29
"Sat, 15/02/2020",2020-02-15T09:45:04+0000,17.12,17121.4,km,1:57:17,2:06:52
"Sun, 16/02/2020",2020-02-16T00:59:02+0000,12.58,12585.2,km,1:13:22,1:16:46
"Tue, 18/02/2020",2020-02-18T12:05:56+0000,10.01,10012,km,48:59:00,48:59:00
"Tue, 18/02/2020",2020-02-18T13:00:12+0000,2.03,2032.1,km,11:12,11:12
"Thu, 20/02/2020",2020-02-20T10:11:28+0000,5.02,5026.6,km,27:31:00,27:31:00
"Sat, 22/02/2020",2020-02-22T09:22:45+0000,5.57,5577.5,km,32:20:00,32:21:00
"Sun, 23/02/2020",2020-02-23T08:55:40+0000,6.91,6909,km,1:02:18,1:02:32
"Mon, 24/02/2020",2020-02-24T10:44:05+0000,8.54,8545.5,km,48:06:00,51:50:00
"Mon, 24/02/2020",2020-02-24T11:41:16+0000,1.65,1657.6,km,10:07,10:46
"Tue, 25/02/2020",2020-02-25T09:34:51+0000,12.29,12296.8,km,1:07:57,1:19:43
"Tue, 25/02/2020",2020-02-25T11:09:27+0000,4.15,4156.2,km,23:15,23:15
"Wed, 26/02/2020",2020-02-26T10:01:07+0000,7.44,7441.3,km,39:00:00,44:55:00
"Sat, 29/02/2020",2020-02-29T09:35:35+0000,2.73,2729.6,km,11:43,12:18
"Sun, 01/03/2020",2020-03-01T01:55:12+0000,10.63,10636.4,km,1:02:05,1:03:04
"Tue, 03/03/2020",2020-03-03T12:13:39+0000,7.08,7088.6,km,35:00:00,41:26:00
"Thu, 05/03/2020",2020-03-05T13:22:25+0000,5.01,5011,km,22:34,22:34
"Thu, 05/03/2020",2020-03-05T13:46:02+0000,1.03,1031,km,6:14,6:14
"Thu, 05/03/2020",2020-03-05T14:15:31+0000,5.02,5023.4,km,29:04:00,29:04:00
"Sat, 07/03/2020",2020-03-07T06:11:37+0000,2.37,2375.1,km,12:47,15:47
"Sun, 08/03/2020",2020-03-08T12:49:08+0000,10.23,10235,km,49:15:00,49:15:00
"Sun, 08/03/2020",2020-03-08T13:39:17+0000,0.55,551.6,km,3:39,3:39
"Tue, 10/03/2020",2020-03-10T12:32:03+0000,3.21,3210.8,km,17:26,17:26
"Wed, 11/03/2020",2020-03-11T12:34:04+0000,12.26,12267.8,km,1:07:31,1:08:18
"Thu, 12/03/2020",2020-03-12T12:19:41+0000,5.01,5010.9,km,23:26,23:26
"Fri, 13/03/2020",2020-03-13T13:18:21+0000,5.01,5012.4,km,26:25:00,33:16:00
"Sun, 15/03/2020",2020-03-15T10:52:07+0000,8.11,8113.8,km,43:48:00,43:48:00
"Sun, 15/03/2020",2020-03-15T11:43:45+0000,2.24,2241.5,km,12:36,12:36
"Tue, 17/03/2020",2020-03-17T13:16:08+0000,5.76,5762,km,30:14:00,30:14:00
"Tue, 17/03/2020",2020-03-17T14:17:27+0000,4.2,4203.3,km,22:58,22:58
"Fri, 20/03/2020",2020-03-20T11:23:47+0000,2.05,2050.3,km,7:59,7:59
"Fri, 20/03/2020",2020-03-20T11:33:43+0000,1.1,1099.9,km,6:13,6:13
"Sat, 21/03/2020",2020-03-21T09:38:32+0000,10.93,10929.1,km,1:03:10,1:17:12
"Tue, 24/03/2020",2020-03-23T22:17:38+0000,11.71,11714.1,km,1:04:42,1:12:51
"Tue, 24/03/2020",2020-03-23T23:36:54+0000,2.92,2928.5,km,16:58,18:59
"Thu, 26/03/2020",2020-03-26T09:06:04+0000,21.25,21258.5,km,2:13:08,2:56:19
"Sun, 29/03/2020",2020-03-29T09:40:21+0000,2.62,2621.7,km,12:59,13:12
"Mon, 30/03/2020",2020-03-30T12:05:47+0000,3.86,3860.5,km,19:54,20:40
"Sun, 12/04/2020",2020-04-12T11:24:21+0000,2.41,2412.7,km,12:46,12:46
"Thu, 16/04/2020",2020-04-15T21:55:21+0000,4,4008,km,21:09,21:09
"Fri, 17/04/2020",2020-04-16T21:55:01+0000,3.99,3997.1,km,21:03,21:06
"Sat, 18/04/2020",2020-04-17T22:31:20+0000,3.96,3962.4,km,20:11,20:17
"Sun, 19/04/2020",2020-04-18T21:54:54+0000,4.01,4017.8,km,23:10,23:10
"Tue, 21/04/2020",2020-04-20T22:18:50+0000,3.98,3987.5,km,21:25,21:28
"Sat, 25/04/2020",2020-04-24T21:38:34+0000,3.96,3968.7,km,21:07,21:13
"Sat, 02/05/2020",2020-05-01T21:27:22+0000,3.92,3922.9,km,18:49,18:52
"Sun, 03/05/2020",2020-05-02T22:09:01+0000,3.9,3908.3,km,19:28,19:31
"Tue, 05/05/2020",2020-05-04T22:22:21+0000,2.75,2755.9,km,12:43,12:43
"Mon, 18/05/2020",2020-05-17T22:29:16+0000,3.89,3898.4,km,19:31,19:31
"Mon, 01/06/2020",2020-05-31T21:20:57+0000,4.21,4217.7,km,20:07,20:12
"Thu, 04/06/2020",2020-06-03T22:44:29+0000,3.91,3917.3,km,20:03,20:03
"Fri, 05/06/2020",2020-06-04T22:40:49+0000,3.92,3925.2,km,19:59,22:02
"Sat, 06/06/2020",2020-06-05T22:39:53+0000,3.94,3942.7,km,22:13,22:13
"Mon, 15/06/2020",2020-06-14T22:54:39+0000,4.02,4024.7,km,18:37,18:37
"Tue, 16/06/2020",2020-06-16T10:58:47+0000,3.95,3952.8,km,19:38,19:38
"Wed, 17/06/2020",2020-06-17T11:00:22+0000,3.95,3953.7,km,20:03,20:03
"Thu, 18/06/2020",2020-06-18T08:00:27+0000,5.01,5017.1,km,27:05:00,28:13:00
"Thu, 18/06/2020",2020-06-18T08:44:43+0000,3.09,3094.6,km,18:05,19:21
"Fri, 19/06/2020",2020-06-19T10:22:11+0000,3.21,3211.4,km,15:26,15:26
"Sat, 20/06/2020",2020-06-19T23:44:46+0000,3.88,3882.8,km,19:00,19:00
"Sun, 21/06/2020",2020-06-20T22:06:17+0000,3.92,3919.6,km,20:14,20:14
"Mon, 22/06/2020",2020-06-21T23:55:21+0000,3.92,3927.3,km,19:00,19:00
"Wed, 24/06/2020",2020-06-24T09:05:00+0000,3.92,3919.5,km,18:48,18:48
"Sat, 27/06/2020",2020-06-27T08:55:15+0000,10.79,10798.5,km,1:00:17,1:02:42
"Sun, 28/06/2020",2020-06-28T03:31:33+0000,3.63,3631.9,km,18:53,22:20
"Mon, 29/06/2020",2020-06-29T01:58:42+0000,3.9,3905.8,km,20:11,20:11
"Tue, 30/06/2020",2020-06-30T12:07:46+0000,5.1,5099.1,km,24:14:00,24:19:00
"Sat, 04/07/2020",2020-07-04T09:55:46+0000,3.59,3591.3,km,19:56,24:55:00
"Sun, 05/07/2020",2020-07-05T01:10:15+0000,3.9,3903.6,km,19:23,19:23
"Mon, 06/07/2020",2020-07-06T12:20:37+0000,3.94,3947.3,km,20:59,20:59
"Tue, 07/07/2020",2020-07-07T12:53:56+0000,5.21,5212.1,km,29:47:00,30:03:00
"Wed, 08/07/2020",2020-07-08T11:36:03+0000,10.13,10137.1,km,52:04:00,52:22:00
"Thu, 09/07/2020",2020-07-09T12:36:52+0000,1.98,1980.1,km,8:30,8:30
"Sat, 11/07/2020",2020-07-10T20:52:43+0000,1.52,1520,km,7:16,7:16
"Sat, 11/07/2020",2020-07-10T21:08:10+0000,0.36,364.3,km,1:25,1:25
"Sat, 11/07/2020",2020-07-10T21:14:39+0000,1.19,1191.3,km,6:16,6:16
"Mon, 13/07/2020",2020-07-13T08:54:10+0000,5.74,5744.3,km,29:44:00,39:27:00
"Tue, 14/07/2020",2020-07-14T09:52:20+0000,12.01,12011.6,km,1:07:42,1:19:43
"Tue, 14/07/2020",2020-07-14T11:31:57+0000,1.21,1216.9,km,7:36,7:36
"Wed, 15/07/2020",2020-07-15T11:31:28+0000,3.96,3966.5,km,20:21,20:24
"Thu, 16/07/2020",2020-07-16T10:42:50+0000,10.01,10009.9,km,50:15:00,1:00:33
"Sat, 18/07/2020",2020-07-18T07:40:51+0000,4.18,4186.5,km,24:01:00,27:43:00
"Sun, 19/07/2020",2020-07-18T22:56:56+0000,3.93,3930.9,km,20:44,20:44
"Thu, 23/07/2020",2020-07-23T11:41:12+0000,10.23,10231.7,km,52:23:00,53:46:00
"Fri, 24/07/2020",2020-07-24T11:06:43+0000,3.99,3996.9,km,17:52,17:52
"Sat, 25/07/2020",2020-07-25T08:41:12+0000,1.61,1609.3,km,5:53,5:53
"Sun, 26/07/2020",2020-07-26T03:48:33+0000,3.98,3981.7,km,20:35,20:41
"Mon, 27/07/2020",2020-07-27T11:53:05+0000,12.01,12010.9,km,1:06:13,1:06:46
"Tue, 28/07/2020",2020-07-28T11:40:52+0000,4.32,4320.4,km,23:29,23:29
"Wed, 29/07/2020",2020-07-29T12:12:27+0000,5.02,5021.2,km,26:17:00,26:17:00
"Fri, 31/07/2020",2020-07-31T08:10:25+0000,21.15,21149.9,km,1:57:53,2:11:35
"Sun, 02/08/2020",2020-08-02T00:06:56+0000,3.64,3642.3,km,19:55,19:58
"Mon, 03/08/2020",2020-08-03T11:45:51+0000,12,12005.7,km,1:07:12,1:12:03
"Tue, 04/08/2020",2020-08-04T11:50:30+0000,10,10001.3,km,48:13:00,48:45:00
"Thu, 06/08/2020",2020-08-06T11:33:29+0000,10.01,10009.6,km,50:53:00,50:53:00
"Sat, 08/08/2020",2020-08-07T23:17:31+0000,3.92,3919.1,km,21:39,21:47
"Sun, 09/08/2020",2020-08-09T08:37:56+0000,7.44,7442.4,km,39:40:00,44:05:00
"Mon, 10/08/2020",2020-08-10T10:05:53+0000,6.1,6103.3,km,34:57:00,37:33:00
"Tue, 11/08/2020",2020-08-11T10:18:44+0000,4.01,4014.7,km,21:29,21:29
"Thu, 13/08/2020",2020-08-13T11:47:04+0000,10.04,10040.2,km,56:13:00,56:25:00
"Sat, 15/08/2020",2020-08-15T10:16:22+0000,9.43,9431.7,km,52:05:00,56:06:00
"Mon, 17/08/2020",2020-08-16T23:07:50+0000,9.9,9899.7,km,51:08:00,56:25:00
"Tue, 18/08/2020",2020-08-17T23:11:04+0000,3.94,3943.2,km,17:38,17:38
"Wed, 19/08/2020",2020-08-19T12:28:17+0000,2.35,2353.5,km,14:25,14:25
"Wed, 19/08/2020",2020-08-19T12:45:18+0000,9.94,9948.2,km,51:47:00,52:38:00
"Wed, 19/08/2020",2020-08-19T13:38:20+0000,0.65,649.8,km,4:47,4:47
"Thu, 20/08/2020",2020-08-20T13:06:29+0000,4.71,4716.3,km,23:52,24:14:00
"Fri, 21/08/2020",2020-08-21T12:30:15+0000,10,10006.3,km,55:07:00,55:07:00
"Sun, 23/08/2020",2020-08-23T09:27:18+0000,3.56,3563.6,km,19:37,20:28
"Mon, 24/08/2020",2020-08-24T10:27:43+0000,2.41,2412.5,km,8:53,8:53
"Tue, 25/08/2020",2020-08-25T09:27:22+0000,3.99,3998.4,km,21:23,21:23
"Wed, 26/08/2020",2020-08-26T08:40:22+0000,15.45,15458.1,km,1:23:55,1:33:15
"Thu, 27/08/2020",2020-08-27T11:56:03+0000,12,12002.7,km,1:08:57,1:09:03
"Sat, 29/08/2020",2020-08-29T09:19:10+0000,12.01,12010.9,km,1:08:32,1:14:48
"Sun, 30/08/2020",2020-08-30T09:47:32+0000,2.49,2497.9,km,10:13,33:14:00
"Mon, 31/08/2020",2020-08-31T08:41:11+0000,21.7,21699,km,2:09:18,2:21:24
"Tue, 01/09/2020",2020-09-01T09:38:25+0000,2.95,2952.5,km,13:40,14:17
"Wed, 02/09/2020",2020-09-02T12:32:02+0000,10.01,10013.3,km,56:55:00,57:02:00
"Thu, 03/09/2020",2020-09-03T12:21:21+0000,4.6,4608.4,km,24:26:00,24:26:00
